City/Community,,House_units,House_price,House_change,House_foot,Condo_units,Condo_price,Condo_change,Month,
Dulzura,91917,2,417,,250,,,,Mar18,
East San Diego,92102,6,423,-0.051,520,8,290,-0.151,Mar18,
East San Diego,92105,15,400,0.053,394,6,218,-0.065,Mar18,
El Cajon,92019,34,563,0.100,319,15,325,0.035,Mar18,
El Cajon,92020,31,520,0.174,337,7,241,0.040,Mar18,
El Cajon,92021,31,469,0.011,319,23,276,0.150,Mar18,
Encanto,92114,42,435,0.086,329,3,254,-0.324,Mar18,
Encinitas,92024,43,1021,0.028,494,12,593,-0.037,Mar18,
Escondido,92025,34,570,0.301,304,10,295,-0.119,Mar18,
Escondido,92026,50,529,0.058,304,2,208,0.025,Mar18,
Escondido,92027,41,473,0.016,304,4,238,0.013,Mar18,
Escondido,92029,21,755,0.071,302,,,,Mar18,
Fallbrook,92028,76,525,0.019,278,1,200,-0.257,Mar18,
Hillcrest,92103,10,1205,0.282,626,21,475,0.081,Mar18,
Imperial Beach,91932,17,575,0.117,556,5,365,-0.189,Mar18,
Jacumba,91934,,,,,,,,Mar18,
Jamul,91935,13,679,0.269,302,,,,Mar18,
Julian,92036,2,218,0.318,212,,,,Mar18,
La Jolla,92037,33,2100,0.292,868,37,662,-0.167,Mar18,
La Mesa,91941,36,648,0.121,359,1,425,0.417,Mar18,
La Mesa,91942,32,528,0.045,424,16,312,-0.084,Mar18,
Lakeside,92040,33,490,0.032,328,14,271,0.206,Mar18,
Lemon Grove,91945,15,457,0.075,333,1,265,0.064,Mar18,
Linda Vista,92111,19,618,0.106,379,18,395,-0.053,Mar18,
Logan Heights,92113,15,348,-0.059,337,3,230,0.531,Mar18,
Mira Mesa,92126,35,615,0.074,402,24,430,0.191,Mar18,
Mission Village,92123,20,584,0.024,434,11,480,0.231,Mar18,
National City,91950,20,388,-0.034,347,4,340,-0.079,Mar18,
Normal Heights,92116,16,735,0.078,658,15,300,-0.143,Mar18,
North Park,92104,21,658,0.032,687,20,413,0.163,Mar18,
Ocean Beach,92107,20,1325,0.532,682,7,599,0.336,Mar18,
Oceanside,92054,21,591,0.049,409,21,530,0.227,Mar18,
Oceanside,92056,79,529,0.088,330,7,368,0.132,Mar18,
Oceanside,92057,82,477,0.037,297,10,307,0.004,Mar18,
Oceanside,92058,,,,,,,,Mar18,
Pacific Beach,92109,15,1039,-0.050,742,29,518,-0.042,Mar18,
Palomar Mountain,92060,1,420,,257,,,,Mar18,
Paradise Hills,92139,12,435,0.061,308,4,313,-0.016,Mar18,
Pauma Valley,92061,1,,,,,,,Mar18,
Pine Valley,91962,4,503,,266,,,,Mar18,
Point Loma,92106,12,1330,0.237,662,3,875,0.750,Mar18,
Potrero,91963,,,,,,,,Mar18,
Poway,92064,64,743,0.169,394,7,485,0.115,Mar18,
Ramona,92065,53,518,0.096,271,6,290,0.021,Mar18,
Ranch Bernardo,92127,39,1180,0.151,406,17,680,0.353,Mar18,
Ranch Bernardo,92128,41,775,0.084,396,42,455,-0.002,Mar18,
Ranch Penasquitos,92129,29,820,0.079,413,17,373,0.150,Mar18,
Ranch Santa Fe,92067,24,2308,0.074,502,1,1295,,Mar18,
Ranch Santa Fe,92091,6,2913,0.227,548,2,793,,Mar18,
Ranchita,92066,,,,,,,,Mar18,
San Carlos,92119,20,567,0.025,391,17,325,0.163,Mar18,
San Diego,92108,1,655,,375,42,343,-0.097,Mar18,
San Diego,92112,,,,,,,,Mar18,
San Marcos,92069,30,551,0.011,340,8,293,-0.159,Mar18,
San Marcos,92078,41,699,-0.036,355,20,428,-0.049,Mar18,
San Ysidro,92173,8,435,-0.033,301,7,280,0.366,Mar18,
Santa Ysabel,92070,,,,,,,,Mar18,
